Gene,Celltype,Type
CD2,Tcells,Immune
CD3D,Tcells,Immune
CD3E,Tcells,Immune
CD3G,Tcells,Immune
CD28,Tcells,Immune
CD4,Tcells,Immune
CD8A,Tcells,Immune
CD8B,Tcells,Immune
FOXP3,Tcells,Immune
IL2RA,Tcells,Immune
SELL,Tcells,Immune
TCF7,Tcells,Immune
NKG7,NK,Immune
KLRD1,NK,Immune
FCER1G,NK,Immune
KLRC1,NK,Immune
NCR1,NK,Immune
NCR2,NK,Immune
NCR3,NK,Immune
KLRK1,NK,Immune
KIR3DL1,NK,Immune
FCGR3A,NK,Immune
CD1C,DC,Immune
ITGB2,DC,Immune
ITGAX,DC,Immune
ITGAE,DC,Immune
ITGAM,DC,Immune
LY75,DC,Immune
LILRA4,DC,Immune
CLEC4C,DC,Immune
IL3RA,DC,Immune
LYZ,Macrophage,Immune
CST3,Macrophage,Immune
AIF1,Macrophage,Immune
TYROBP,Macrophage,Immune
PLAUR,Macrophage,Immune
LST1,Macrophage,Immune
CCL3,Macrophage,Immune
CD68,Macrophage,Immune
CD14,Macrophage,Immune
CD163,Macrophage,Immune
CSF1R,Macrophage,Immune
CD19,Bcells,Immune
CD79A,Bcells,Immune
CD79B,Bcells,Immune
BLNK,Bcells,Immune
MS4A1,Bcells,Immune
LAT2,Bcells,Immune
BASP1,Bcells,Immune
CD40,Bcells,Immune
JCHAIN,Plasma cell,Immune
DERL3,Plasma cell,Immune
MZB1,Plasma cell,Immune
FKBP11,Plasma cell,Immune
XBP1,Plasma cell,Immune
SSR4,Plasma cell,Immune
PRDX4,Plasma cell,Immune
FKBP2,Plasma cell,Immune
SELM,Plasma cell,Immune
SEC11C,Plasma cell,Immune
SSR3,Plasma cell,Immune
IGKC,Plasma cell,Immune
VIMP,Plasma cell,Immune
IGHG3,Plasma cell,Immune
SPCS3,Plasma cell,Immune
IGHG4,Plasma cell,Immune
ERLEC1,Plasma cell,Immune
CMA1,Mastcells,Immune
CPA3,Mastcells,Immune
MS4A2,Mastcells,Immune
ENPP3,Mastcells,Immune
TPSB2,Mastcells,Immune
TPSAB1,Mastcells,Immune
EPCAM,Epithelial,Epithelial
KRT4,Epithelial,Epithelial
KRT14,Epithelial,Epithelial
KRT5,Epithelial,Epithelial
KRT6A,Epithelial,Epithelial
KRT6B,Epithelial,Epithelial
KRT6C,Epithelial,Epithelial
KRT18,Epithelial,Epithelial
KRT8,Epithelial,Epithelial
KRT19,Epithelial,Epithelial
SFN,Epithelial,Epithelial
VIM,Fibroblast,Fibroblast
FAP,Fibroblast,Fibroblast
PDPN,Fibroblast,Fibroblast
THY1,Fibroblast,Fibroblast
POSTN,Fibroblast,Fibroblast
COL1A1,Fibroblast,Fibroblast
MMP11,Fibroblast,Fibroblast
COL3A1,Fibroblast,Fibroblast
CTHRC1,Fibroblast,Fibroblast
COL5A2,Fibroblast,Fibroblast
COL12A1,Fibroblast,Fibroblast
ACTA2,Myofibroblast,Fibroblast
DES,Myofibroblast,Fibroblast
MYH11,Myofibroblast,Fibroblast
MYLK,Myofibroblast,Fibroblast
ACTG2,Myofibroblast,Fibroblast
ADIRF,Myofibroblast,Fibroblast
NOTCH3,Myofibroblast,Fibroblast
NDUFA4L2,Myofibroblast,Fibroblast
MAP1B,Myofibroblast,Fibroblast
CRIP1,Myofibroblast,Fibroblast
SPARCL1,Myofibroblast,Fibroblast
RGS5,Myofibroblast,Fibroblast
PPP1R14A,Myofibroblast,Fibroblast
TAGLN,Myofibroblast,Fibroblast
TPPP3,Myofibroblast,Fibroblast
COX4I2,Myofibroblast,Fibroblast
MCAM,Myofibroblast,Fibroblast
ENG,Endothelial,Endothelial
CDH5,Endothelial,Endothelial
VWF,Endothelial,Endothelial
FLT1,Endothelial,Endothelial
ACKR1,Endothelial,Endothelial
SELE,Endothelial,Endothelial
ICAM1,Endothelial,Endothelial
SELP,Endothelial,Endothelial
NCOA7,Endothelial,Endothelial
DUSP23,Endothelial,Endothelial
CCL21,Lymphovascular,Endothelial
TFPI,Lymphovascular,Endothelial
FABP5,Lymphovascular,Endothelial
PROX1,Lymphovascular,Endothelial
RGS16,Lymphovascular,Endothelial
PPFIBP1,Lymphovascular,Endothelial
EPHB4,Lymphovascular,Endothelial
TFF3,Lymphovascular,Endothelial
ITGA9,Lymphovascular,Endothelial
MMM1,Lymphovascular,Endothelial
PDE2A,Lymphovascular,Endothelial
IGF1,Lymphovascular,Endothelial
CD9,Lymphovascular,Endothelial
LYVE1,Lymphovascular,Endothelial
FLT4,Lymphovascular,Endothelial
MAF,Lymphovascular,Endothelial
NRP2,Lymphovascular,Endothelial
